52.61316, -2.69059, Acton Burnell - St Mary
52.49993, -2.80691, Acton Scott - St Margaret
52.55759, -2.79526, All Stretton - St Michael
52.65747, -2.69616, Berrington - All Saints
52.68074, -2.72685, Betton Strange - St Margaret
52.55183, -2.72933, Cardington - St James
52.57917, -2.67550, Church Preen - St John the Baptist
52.62088, -2.84348, Church Pulverbatch - St Edith
52.53814, -2.80882, Church Stretton - St Laurence
52.64736, -2.74845, Condover - St Andrew and St Mary
52.64073, -2.65401, Cound - St Peter
52.63210, -2.60390, Cressage - Christ Church
52.49297, -2.85091, Cwm Head - St Michael
52.62154, -2.77446, Dorrington - St Edward
52.60480, -2.71656, Frodesley - St Mark
52.52762, -2.77421, Hope Bowdler - St Andrew
52.60295, -2.64732, Kenley - St John the Baptist
52.59672, -2.68305, Langley Chapel
52.58314, -2.78242, Leebotwood - St Mary
52.52196, -2.82143, Little Stretton - All Saints
52.59965, -2.75677, Longnor - St Mary
52.63427, -2.69916, Pitchford - St Michael and All Angels
52.62734, -2.75705, Ryton - St Thomas
52.58929, -2.81392, Smethcott - St Michael
52.63523, -2.78353, Stapleton - St John the Baptist
52.58134, -2.80945, Woolstaston - St Michael
52.59664, -2.50673, Barrow - St Giles
52.61978, -2.50663, Benthall - St Bartholomew
52.56331, -2.59540, Bourton - Holy Trinity
52.50408, -2.67249, Broadstone Chapel
52.61028, -2.47573, Broseley - All Saints
52.43299, -2.74613, Culmington - All Saints
52.46380, -2.72485, Diddlebury - St Peter
52.55205, -2.64085, Easthope - St Peter
52.50541, -2.73804, Eaton-under-Heywood - St Edith
52.60942, -2.59756, Harley - St Mary
52.50225, -2.64762, Holdgate - Holy Trinity
52.57743, -2.64382, Hughley - St John the Baptist
52.58302, -2.46545, Linley - St Leonard
52.59638, -2.55709, Much Wenlock - Holy Trinity
52.48530, -2.70662, Munslow - St Michael
52.52224, -2.71825, Rushbury - St Peter
52.63210, -2.57668, Sheinton - St Peter and St Paul
52.52280, -2.64733, Shipton - St James
52.51257, -2.63257, Stanton Long - St Michael
52.47955, -2.65390, Tugford - St Catherine
52.58955, -2.48551, Willey - St John the Baptist
52.59760, -2.55514, Wenlock Priory
52.55732, -2.54046, Acton Round - no known dedication
52.45830, -2.35507, Alveley - St Mary the Virgin
52.56303, -2.43140, Astley Abbots - St Calixtus
52.54353, -2.51264, Aston Eyre - no known dedication
52.46547, -2.43676, Billingsley - St Mary
52.53707, -2.41847, Bridgnorth - St Leonard
52.53244, -2.41865, Bridgnorth - St Mary Magdalene
52.48746, -2.41285, Chelmarsh - St Peter
52.51015, -2.49632, Chetton - St Giles
52.53829, -2.30714, Claverley - All Saints
52.49111, -2.43880, Glazeley - St Bartholomew
52.44737, -2.38094, Highley - St Mary
52.48489, -2.47076, Middleton Scriven - St John the Baptist
52.53740, -2.55395, Monkhopton - St Peter
52.54188, -2.48830, Morville - St Gregory
52.52542, -2.42818, Oldbury - St Nicholas
52.51362, -2.38615, Quatford - St Mary Magdalene
52.49105, -2.36031, Quatt - St Andrew
52.46877, -2.46696, Sidbury - Holy Trinity
52.54401, -2.44886, Tasley - St Peter and St Paul
52.49002, -2.31412, Tuckhill - Holy Innocents
52.52874, -2.50814, Upton Cressett - St Michael
52.55926, -2.35847, Worfield - St Peter
52.37583, -2.92867, Bedstone - St Mary
52.42437, -3.16920, Bettws-y-Crwyn - St Mary
52.48951, -2.99828, Bishops Castle - St John the Baptist
52.35920, -2.94899, Bucknell - St Mary
52.38079, -3.00631, Chapel Lawn - St Mary
52.41848, -3.02997, Clun - St George
52.42022, -2.92640, Clunbury - St Swithin
52.40310, -2.89098, Clungunford - St Cuthbert
52.42597, -2.97929, Clunton - St Mary
52.46671, -2.90277, Edgton - St Michael
52.44415, -2.89997, Hopesay - St Mary
52.39838, -2.93708, Hopton Castle - St Edward
52.37941, -3.11758, Llanfair Waterdine - St Mary
52.46825, -2.95499, Lydbury North - St Michael and All Angels
52.51327, -2.98032, Lydham - Holy Trinity
52.47908, -3.08378, Mainstone - St John the Baptist
52.50016, -2.89963, Mindtown - St John the Baptist
52.51747, -2.96971, More - St Peter
52.43636, -3.09987, Newcastle on Clun - St John the Evangelist
52.52966, -2.93889, Norbury - All Saints
52.56637, -2.88259, Ratlinghope - St Margaret
52.35692, -3.01441, Stowe - St Michael
52.52821, -2.90993, Wentnor - St Michael and All Angels
52.47567, -2.62630, Abdon - St Margaret
52.45363, -2.54229, Aston Botterell - St Michael
52.37436, -2.59936, Cleehill - St Peter
52.45557, -2.64234, Clee St Margaret - St Margaret
52.40456, -2.57385, Cleeton St Mary - St Mary
52.37937, -2.48010, Cleobury Mortimer - St Mary
52.47960, -2.55599, Cleobury North - St Peter and St Paul
52.36275, -2.56944, Coreley - St Peter
52.49897, -2.57817, Ditton Priors - St John the Baptist
52.38249, -2.56563, Doddington - St John the Baptist
52.42226, -2.53159, Farlow - St Giles
52.46672, -2.65301, Heath Chapel
52.36302, -2.60533, Hope Bagot - St John the Baptist
52.38565, -2.53416, Hopton Wafers - St Michael
52.42613, -2.42680, KInlet - St John the Baptist
52.37364, -2.63044, Knowbury - St Paul
52.44376, -2.56704, Loughton Chapel
52.35220, -2.53037, Milson - St George
52.34185, -2.58243, Nash - St John the Baptist
52.39273, -2.48008, Neen Savage - St Mary
52.34748, -2.50032, Neen Sollars - All Saints
52.48623, -2.53557, Neenton - All Saints
52.41534, -2.55843, Silvington - St Michael
52.43704, -2.63965, Stoke St Milborough - St Milburgh
52.44294, -2.48329, Stottesdon - St Mary
52.43640, -2.55761, Wheathill - Holy Trinity
52.35185, -2.62401, Whitton - St Mary
52.33071, -2.70705, Ashford Bowdler - St Andrew
52.33475, -2.69810, Ashford Carbonell - St Mary
52.39194, -2.63230, Bitterley - St Mary
52.32714, -2.56852, Boraston - no known dedication
52.38685, -2.76315, Bromfield - St Mary the Virgin
52.31186, -2.59650, Burford - St Mary
52.35558, -2.65680, Caynham - St Mary
52.33441, -2.62191, Greete - St James
52.44496, -2.83069, Halford - St Thomas
52.36288, -2.71691, Ludford - St Giles
52.37206, -2.71301, Ludlow - St John
52.36819, -2.71890, Ludlow - St Laurence
52.39210, -2.67725, Middleton Chapel
52.40769, -2.80133, Onibury - St Michael
52.33152, -2.74343, Batchcott Richard's Castle - All Saints
52.44290, -2.86527, Sibdon Carwood - St Michael
52.40494, -2.74291, Stanton Lacy - St Peter
52.43069, -2.83121, Stokesay - st John the Baptist
52.46568, -2.83682, Winstanstow - Holy Trinity
